TV,Radio,Newspaper,Sales
110.7,40.6,63.2,16.0
88.3,25.5,73.4,12.9
109.8,47.8,51.4,16.7
134.3,4.9,9.3,11.2
28.6,1.5,33.0,7.3
217.7,33.5,59.0,19.4
250.9,36.5,72.3,22.2
107.4,14.0,10.9,11.5
163.3,31.6,52.9,16.9
197.6,3.5,5.9,11.7
184.9,21.0,22.0,15.5
289.7,42.3,51.2,25.4
135.2,41.7,45.9,17.2
222.4,4.3,49.8,11.7
296.4,36.3,100.9,23.8
280.2,10.1,21.4,14.8
187.9,17.2,17.9,14.7
238.2,34.3,5.3,20.7
137.9,46.4,59.0,19.2
25.0,11.0,29.7,7.2
90.4,0.3,23.2,8.7
13.1,0.4,25.6,5.3
255.4,26.9,5.5,19.8
225.8,8.2,56.5,13.4
241.7,38.0,23.2,21.8
175.7,15.4,2.4,14.1
209.6,20.6,10.7,15.9
78.2,46.8,34.5,14.6
75.1,35.0,52.7,12.6
139.2,14.3,25.6,12.2
76.4,0.8,14.8,9.4
125.7,36.9,79.2,15.9
19.4,16.0,22.3,6.6
141.3,26.8,46.2,15.5
18.8,21.7,50.4,7.0
224.0,2.4,15.6,11.6
123.1,34.6,12.4,15.2
229.5,32.3,74.2,19.7
87.2,11.8,25.9,10.6
7.8,38.9,50.6,6.6
80.2,0.0,9.2,8.8
220.3,49.0,3.2,24.7
59.6,12.0,43.1,9.7
0.7,39.6,8.7,1.6
265.2,2.9,43.0,12.7
8.4,27.2,2.1,5.7
219.8,33.5,45.1,19.6
36.9,38.6,65.6,10.8
48.3,47.0,8.5,11.6
25.6,39.0,9.3,9.5
273.7,28.9,59.7,20.8
43.0,25.9,20.5,9.6
184.9,43.9,1.7,20.7
73.4,17.0,12.9,10.9
193.7,35.4,75.6,19.2
220.5,33.2,37.9,20.1
104.6,5.7,34.4,10.4
96.2,14.8,38.9,11.4
140.3,1.9,9.0,10.3
240.1,7.3,8.7,13.2
243.2,49.0,44.3,25.4
38.0,40.3,11.9,10.9
44.7,25.8,20.6,10.1
280.7,13.9,37.0,16.1
121.0,8.4,48.7,11.6
197.6,23.3,14.2,16.6
171.3,39.7,37.7,19.0
187.8,21.1,9.5,15.6
4.1,11.6,5.7,3.2
93.9,43.5,50.5,15.3
149.8,1.3,24.3,10.1
11.7,36.9,45.2,7.3
131.7,18.4,34.6,12.9
172.5,18.1,30.7,14.4
85.7,35.8,49.3,13.3
188.4,18.1,25.6,14.9
163.5,36.8,7.4,18.0
117.2,14.7,5.4,11.9
234.5,3.4,84.8,11.9
17.9,37.6,21.6,8.0
206.8,5.2,19.4,12.2
215.4,23.6,57.6,17.1
284.3,10.6,6.4,15.0
50.0,11.6,18.4,8.4
164.5,20.9,47.4,14.5
19.6,20.1,17.0,7.6
168.4,7.1,12.8,11.7
222.4,3.4,13.1,11.5
276.9,48.9,41.8,27.0
248.4,30.2,20.3,20.2
170.2,7.8,35.2,11.7
276.7,2.3,23.7,11.8
165.6,10.0,17.6,12.6
156.6,2.6,8.3,10.5
218.5,5.4,27.4,12.2
56.2,5.7,29.7,8.7
287.6,43.0,71.8,26.2
253.8,21.3,30.0,17.6
205.0,45.1,19.6,22.6
139.5,2.1,26.6,10.3
191.1,28.7,18.2,17.3
286.0,13.9,3.7,15.9
18.7,12.1,23.4,6.7
39.5,41.1,5.8,10.8
75.5,10.8,6.0,9.9
17.2,4.1,31.6,5.9
166.8,42.0,3.6,19.6
149.7,35.6,6.0,17.3
38.2,3.7,13.8,7.6
94.2,4.9,8.1,9.7
177.0,9.3,6.4,12.8
283.6,42.0,66.2,25.5
232.1,8.6,8.7,13.4
155.8,30.5,54.3,16.9
169.7,22.6,29.9,17.7
19.4,20.7,17.9,7.4
211.1,22.1,13.4,17.4
137.2,30.2,13.3,13.9
40.3,3.8,15.3,8.2
78.5,48.7,45.6,14.0
114.8,20.2,13.1,13.1
85.3,30.5,15.2,12.4
198.3,38.2,25.8,20.6
237.1,36.8,24.0,22.4
211.8,4.7,25.8,11.8
131.4,6.0,36.0,10.1
262.3,46.0,63.5,20.7
18.4,13.7,23.2,7.3
227.9,5.0,18.1,12.4
281.8,34.5,77.9,20.2
255.5,40.8,74.0,21.1
65.6,5.6,28.8,8.2
184.5,10.5,63.4,13.3
7.2,33.1,52.5,5.9
89.6,12.3,28.1,11.3
33.9,42.0,65.8,9.8
4.2,10.6,5.7,3.1
52.8,35.3,22.3,9.9
8.8,2.1,1.1,5.3
198.9,3.0,31.7,11.4
116.9,15.0,5.9,12.0
193.1,31.8,53.3,17.7
117.1,17.5,18.0,12.2
116.7,13.8,32.7,12.9
103.1,9.8,3.9,10.5
312.1,34.0,109.0,24.0
199.0,35.3,4.7,20.8
68.3,9.4,0.8,8.7
126.0,35.6,86.1,17.0
190.5,3.5,6.8,9.9
121.2,46.6,67.5,17.5
62.3,47.2,35.9,13.4
211.2,45.8,37.5,23.1
66.7,33.0,51.6,11.0
76.9,0.0,9.8,8.9
12.3,37.2,47.1,6.8
43.5,26.2,22.2,9.8
92.9,0.3,23.2,8.4
231.7,5.8,25.1,12.2
122.6,1.9,27.4,9.6
199.1,3.2,5.8,12.6
117.3,7.7,22.8,11.0
176.5,3.0,18.5,10.3
40.7,3.4,12.1,7.8
208.7,41.2,39.8,21.7
76.7,29.4,22.7,10.8
176.9,23.9,34.8,14.1
287.3,9.6,23.3,14.8
113.1,15.5,31.1,12.5
42.6,40.0,39.1,10.6
174.0,31.1,54.2,19.2
100.7,8.3,6.6,10.2
279.3,2.5,24.5,11.4
107.9,47.3,51.8,16.3
64.3,12.5,18.8,9.9
44.7,30.4,35.7,10.8
298.7,2.5,25.2,11.3
106.4,8.3,20.1,10.5
34.5,42.7,61.3,11.6
137.2,1.8,9.0,9.9
285.3,44.9,63.0,26.2
240.2,3.2,18.8,11.5
20.9,44.3,65.6,9.5
80.9,0.0,8.0,9.3
11.2,29.1,45.9,6.3
88.6,1.5,7.0,10.4
239.9,13.7,51.7,14.7
123.7,33.4,64.1,16.1
144.7,1.1,25.2,11.1
197.3,52.7,58.9,26.9
101.2,9.3,39.7,10.6
210.7,23.9,30.6,15.9
191.8,20.2,32.6,18.5
111.3,15.0,10.9,12.1
7.2,25.9,37.6,5.9
70.4,10.8,6.3,10.8
91.6,15.3,42.9,9.8
250.2,34.0,5.0,19.3
180.0,20.1,21.5,14.2
155.2,9.4,6.9,12.6
121.3,36.8,79.5,17.0
107.2,40.0,47.3,13.5
246.1,28.6,56.2,17.9
72.4,17.5,10.4,11.3
205.6,36.3,61.4,19.4
179.2,22.6,11.2,17.1
13.6,33.8,20.3,8.2
129.1,14.3,5.3,12.3
3.9,11.3,6.3,3.2
202.8,38.2,39.9,23.5
56.9,12.3,40.7,9.3
94.0,43.6,59.6,15.2
231.1,30.9,4.6,21.5
275.1,8.7,7.5,11.6
243.3,36.1,33.5,22.4
290.4,28.7,1.7,19.2
238.6,4.6,35.9,12.0
172.7,9.9,19.0,13.4
225.3,29.8,62.8,17.2
78.9,0.0,8.0,9.5
67.1,49.1,36.5,13.5
121.9,37.0,12.6,15.3
252.5,27.5,14.2,20.4
217.3,17.8,24.4,14.7
255.6,19.1,0.3,16.2
7.8,46.3,79.1,7.3
152.9,20.8,19.5,16.2
35.9,36.6,67.0,10.3
207.3,44.2,34.8,21.8
125.5,48.1,61.6,16.7
49.5,12.1,18.2,8.0
26.4,40.1,9.7,8.9
23.1,11.5,27.4,7.7
203.9,8.9,28.1,13.2
134.6,41.5,30.2,19.2
122.5,43.5,48.4,15.7
47.7,13.0,18.8,8.1
207.3,36.0,53.3,20.7
44.9,11.0,19.0,8.6
7.4,25.9,43.6,5.6
74.9,11.4,6.3,11.2
156.2,19.3,43.6,13.2
4.9,28.7,9.9,4.5
258.4,14.4,26.9,15.7
219.3,42.0,30.7,22.5
242.5,4.1,44.4,10.3
135.0,25.5,46.4,15.4
211.7,24.0,28.7,14.2
160.3,16.0,32.3,14.5
200.2,8.6,49.4,13.6
44.2,25.0,19.0,10.0
309.7,29.2,1.8,22.0
17.4,39.4,58.2,9.4
192.0,3.1,14.4,10.8
72.0,40.8,119.1,11.1
202.9,21.1,29.3,15.6
122.3,35.1,11.4,14.5
128.5,24.7,17.4,12.9
104.3,17.3,41.2,11.7
42.4,37.9,5.3,13.0
184.4,24.8,31.3,15.5
285.5,38.4,62.9,21.1
285.4,43.6,5.3,30.8
165.4,14.5,17.0,15.8
18.6,12.3,24.9,7.8
143.8,39.0,28.5,18.8
34.0,32.9,61.9,12.4
59.8,11.5,19.9,9.8
148.0,5.1,9.2,11.7
256.2,4.0,38.3,11.0
153.7,19.4,28.3,14.9
167.8,16.4,9.7,14.0
316.0,39.5,58.1,25.0
233.9,28.9,58.5,17.6
125.8,18.8,36.5,11.9
65.2,37.4,113.5,13.3
0.7,42.9,9.7,1.3
223.1,17.6,21.1,18.6
288.8,40.4,74.0,24.4
235.5,2.9,44.2,12.5
115.2,35.4,15.0,16.0
28.8,1.6,33.5,7.4
245.6,7.6,9.1,13.4
101.2,7.8,7.0,9.6
66.2,19.0,43.7,12.1
25.2,34.6,18.3,9.3
200.0,31.9,39.1,22.0
234.2,32.2,40.3,19.5
122.4,16.6,40.5,12.8
219.9,3.3,35.4,10.3
275.2,29.3,43.6,25.5
271.9,3.3,19.8,12.1
212.2,7.7,24.4,14.8
246.0,5.3,26.6,13.2
199.3,2.8,23.0,9.8
195.6,33.8,35.7,20.3
202.8,4.8,44.8,9.7
271.7,39.2,5.1,27.1
244.5,28.2,5.1,24.4
196.3,23.1,12.2,16.2
17.6,22.4,55.8,6.5
29.8,26.5,2.2,8.5
263.1,23.7,22.7,18.9
109.7,16.7,11.2,10.8
82.1,27.1,16.6,12.1
77.1,40.3,111.9,11.6
125.8,1.4,28.9,10.2
151.0,38.5,6.2,14.6
43.2,26.0,19.7,9.4
78.6,22.3,23.9,11.5
13.8,14.6,52.3,5.6
158.4,40.9,1.7,19.1
98.2,31.5,7.8,15.3
101.9,1.7,31.1,8.2
68.8,9.2,0.9,9.4
213.1,32.1,10.2,18.8
15.3,46.8,88.5,8.9
111.2,26.9,13.6,14.8
184.9,9.3,7.5,12.0
69.4,46.5,32.5,11.9
290.9,37.6,93.0,24.2
8.4,27.4,2.0,6.3
117.0,16.5,5.9,12.0
234.7,14.4,58.0,15.4
228.6,26.5,24.7,18.9
177.0,43.7,53.7,18.5
174.1,44.0,58.1,23.5
261.2,3.3,16.5,11.6
224.8,36.3,69.3,24.5
67.5,11.6,20.1,10.1
17.7,40.4,68.6,9.3
101.3,1.9,30.8,9.8
55.2,33.3,24.3,10.5
8.1,29.6,2.3,5.4
75.8,11.7,7.2,9.9
57.6,13.1,45.2,8.5
260.4,37.9,35.2,20.2
212.5,29.3,51.8,18.5
103.2,1.7,32.7,11.1
7.8,36.0,48.8,6.6
88.7,15.7,36.7,13.2
113.7,48.7,49.4,16.9
248.7,38.4,107.2,22.3
19.0,15.1,23.8,6.7
299.8,13.3,3.3,16.7
23.0,36.1,9.0,8.7
43.7,40.2,5.5,11.1
222.4,40.7,29.7,20.3
203.7,9.8,7.4,13.7
126.4,4.5,9.8,9.8
17.6,48.1,67.3,9.5
113.0,17.9,37.6,11.6
153.3,2.5,8.7,10.6
283.6,4.0,8.4,13.2
216.8,9.2,24.8,12.3
17.3,16.6,20.2,6.7
237.4,3.5,5.7,11.8
198.5,2.5,22.8,10.9
115.2,60.7,55.7,16.4
28.7,1.3,31.7,6.6
240.4,29.2,57.6,16.4
239.8,41.3,30.7,20.3
162.9,5.0,12.8,10.8
264.4,10.4,4.1,15.7
229.3,7.2,9.1,11.9
121.7,4.9,8.5,10.3
279.2,2.8,48.3,12.8
184.2,42.6,59.2,21.7
139.8,24.8,44.0,13.6
190.4,3.3,32.7,12.3
271.7,14.8,42.3,12.6
3.9,12.6,5.8,2.9
211.0,24.7,13.1,17.6
58.8,11.2,40.1,11.2
24.7,26.8,38.9,7.7
30.9,24.2,2.0,8.8
69.7,34.9,104.8,11.3
69.8,10.7,1.0,8.7
50.6,2.0,21.3,8.3
77.3,0.0,9.7,8.7
19.8,13.3,24.3,7.1
148.2,36.7,6.0,17.5
211.8,23.3,14.6,17.3
138.7,2.2,29.4,10.3
92.3,7.6,7.2,9.8
208.7,19.3,23.3,13.5
236.1,2.4,23.4,10.3
8.2,27.6,2.2,5.6
241.9,3.9,11.9,11.8
133.9,15.5,9.9,12.2
226.5,34.6,60.8,20.0
212.3,5.5,29.6,11.1
3.9,12.3,5.8,3.1
222.4,41.9,51.9,25.3
125.9,37.3,45.6,14.8
78.3,48.1,32.4,14.0
86.7,0.0,10.2,9.4
236.8,9.0,8.7,12.2
220.4,19.7,36.9,16.3
84.4,16.7,39.7,11.4
76.2,29.4,21.2,12.7
38.0,40.9,12.8,11.9
166.1,35.7,69.7,19.1
147.7,39.4,3.5,20.7
81.6,0.0,8.7,8.7
278.7,31.5,60.3,21.6
163.7,39.8,3.8,18.4
97.0,31.9,8.4,13.0
92.7,10.7,34.8,9.7
222.8,5.0,28.6,12.9
124.1,43.8,48.9,15.7
151.7,16.3,31.3,15.7
35.2,37.7,67.5,9.4
