,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
66,Honda,2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5
67,Maruti,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5
68,Volkswagen,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5
69,Maruti,2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5
70,Maruti,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5
71,Hyundai,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5
72,Maruti,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5
73,Toyota,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7
74,Maruti,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5
75,Maruti,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7
76,Volkswagen,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5
77,Toyota,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8
78,Ford,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5
79,BMW,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5
80,Maruti,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5
81,Datsun,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5
82,Maruti,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5
83,Maruti,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5
84,Hyundai,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5
85,Maruti,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5
86,Maruti,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5
87,Volkswagen,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5
88,Hyundai,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5
89,Volkswagen,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5
90,Maruti,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5
91,Hyundai,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5
92,Maruti,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5
93,Hyundai,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5
94,Maruti,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5
95,Hyundai,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5
96,Maruti,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5
97,Tata,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5
98,Maruti,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5
99,Maruti,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7
100,Maruti,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5
101,Mahindra,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8
102,Ford,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5
103,Hyundai,2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5
104,Volkswagen,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5
105,Tata,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5
106,Mahindra,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7
107,Tata,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5
108,Hyundai,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5
109,Hyundai,2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5
110,Toyota,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5
111,Maruti,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5
112,Maruti,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5
113,Maruti,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5
114,Maruti,2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5
115,Nissan,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5
116,Hyundai,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5
117,Ford,2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5
118,Maruti,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5
119,Renault,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5
120,Maruti,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5
121,Maruti,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5
122,Maruti,2013,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7
123,Hyundai,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5
124,Maruti,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7
125,Honda,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5
126,Audi,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5
127,Lexus,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5
128,Jaguar,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5
129,Jeep,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5
130,Land,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7
131,Mercedes-Benz,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5
132,BMW,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5
133,BMW,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5
134,Skoda,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5
135,Mercedes-Benz,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5
136,MG,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5
137,Honda,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5
138,Toyota,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5
139,Volvo,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5
140,Audi,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7
141,Maruti,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5
142,Mercedes-Benz,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5
143,BMW,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5
144,Hyundai,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5
145,Jaguar,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5
146,Tata,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5
147,Volkswagen,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5
148,Hyundai,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5
149,Skoda,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5
150,Mercedes-Benz,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5
151,Maruti,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7
152,Mercedes-Benz,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5
153,Honda,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5
154,Toyota,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5
155,Maruti,2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5
156,Maruti,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5
157,Toyota,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7
158,Tata,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5
159,BMW,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5
160,Toyota,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5
161,BMW,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5
162,Toyota,2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5
163,Maruti,2016,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7
164,Volvo,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4
165,Volkswagen,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5
166,Ford,2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5
167,Ford,2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5
168,Maruti,2015,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5
169,Maruti,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5
170,Hyundai,2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5
171,Maruti,1999,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4
172,Maruti,2010,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5
173,Hyundai,2015,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5
174,Volkswagen,2019,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5
175,Hyundai,2014,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5
176,Maruti,2014,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5
177,Hyundai,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5
178,Honda,2005,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5
179,Toyota,2010,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5
180,Daewoo,2000,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5
181,Toyota,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7
182,Mahindra,2016,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6
183,Tata,2017,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5
184,Honda,2009,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5
185,Maruti,2005,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5
186,Maruti,2010,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5
187,Hyundai,2010,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5
188,Maruti,2016,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5
189,Hyundai,2005,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5
190,Hyundai,2020,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5
191,Maruti,2017,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5
192,Tata,2019,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5
193,Maruti,2015,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7
194,Honda,2015,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5
195,Honda,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5
196,Maruti,2016,360000,50000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5
197,Maruti,2017,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5
198,Hyundai,2013,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5
199,Maruti,2018,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5
200,Maruti,2017,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5
201,Maruti,2018,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5
202,Maruti,2018,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5
203,Maruti,2017,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5
204,Tata,2019,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179.0,147.94,7
205,Hyundai,2013,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5
206,Maruti,2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5
207,Maruti,2015,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5
208,Toyota,2012,550000,100000,Petrol,Individual,Automatic,First Owner,14.53,1794.0,138.1,5
209,Honda,2012,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198.0,86.8,5
210,Maruti,2018,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,5
211,Tata,2017,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7
212,Maruti,2011,160000,25000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5
213,Renault,2018,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5
214,Datsun,2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,5
215,Maruti,2017,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5
216,Hyundai,2020,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5
217,Maruti,2015,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5
218,Hyundai,2012,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197.0,80.0,5
219,Tata,2018,520000,60000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5
220,Nissan,2014,550000,37000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5
221,Ford,2018,910000,15000,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,5
222,Nissan,2015,300000,80000,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,5
223,Maruti,2016,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5
224,Mahindra,2013,900000,70000,Diesel,Individual,Manual,First Owner,12.83,2696.0,162.0,7
225,Mahindra,2013,300000,120000,Diesel,Individual,Manual,Second Owner,17.21,1493.0,100.0,7
226,Maruti,2010,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,5
227,Hyundai,2017,1100000,37000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5
228,Renault,2016,270000,44000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5
229,Maruti,2015,640000,80000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7
230,Mahindra,2015,650000,125000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7
231,Maruti,2017,409999,13500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5
232,Hyundai,2011,165000,75000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5
233,Hyundai,2007,80000,120000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,5
234,Mahindra,2012,535000,120000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7
235,Toyota,2013,700000,70000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.57,7
236,Maruti,2013,550000,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5
237,Honda,2019,680000,15000,Petrol,Individual,Automatic,First Owner,19.0,1199.0,88.76,5
238,Hyundai,2009,200000,53000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5
239,Maruti,2014,500000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,5
240,Maruti,2016,1000000,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7
241,Hyundai,2008,110000,120000,Petrol,Individual,Manual,Second Owner,14.2,1341.0,82.9,5
242,Hyundai,2012,320000,100000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5
243,Maruti,2015,350000,100000,Petrol,Individual,Manual,First Owner,20.4,1197.0,83.11,5
244,Tata,2013,170000,162500,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5
245,Hyundai,2017,800000,39000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5
246,Maruti,2017,500000,75000,Diesel,Individual,Manual,First Owner,26.8,1248.0,74.0,5
247,Tata,2017,1380000,50000,Diesel,Individual,Automatic,First Owner,17.6,2179.0,153.86,7
248,Mahindra,2019,1300000,40000,Diesel,Individual,Manual,First Owner,17.3,1497.0,121.0,8
249,Hyundai,2013,530000,92500,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.3,5
250,Maruti,2012,360000,158000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5
251,Maruti,2012,310000,120000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5
252,Honda,2015,725000,50000,Diesel,Individual,Manual,Second Owner,26.0,1498.0,98.6,5
253,Maruti,2012,340000,110000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5
254,Hyundai,2017,550000,2000,Diesel,Individual,Manual,Second Owner,25.4,1186.0,73.97,5
255,Toyota,2011,1150000,181000,Diesel,Individual,Manual,Second Owner,11.5,2982.0,171.0,7
256,Tata,2016,380000,70000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5
257,Nissan,2013,350000,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498.0,99.6,5
258,Hyundai,2019,610000,2000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5
259,Maruti,2015,525000,20000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5
260,Toyota,2011,480000,120000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,7
261,Mahindra,2017,780000,35000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6
262,Maruti,2012,320000,193000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5
263,Maruti,2014,375000,80000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5
264,Datsun,2019,300000,40000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,5
265,Hyundai,2015,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,22.54,1396.0,88.73,5
266,Mahindra,2011,404000,122358,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9
267,Tata,2015,500000,75000,Diesel,Individual,Manual,First Owner,14.07,2956.0,69.01,7
268,Tata,2017,350000,120000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5
269,Tata,2015,380000,40000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5
270,Hyundai,2008,114999,95200,Petrol,Individual,Manual,Third Owner,13.2,1495.0,94.0,5
271,Honda,2014,335000,33033,Petrol,Dealer,Manual,First Owner,19.4,1198.0,86.8,5
272,Hyundai,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197.0,82.0,5
273,Tata,2012,290000,60000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5
274,Maruti,2005,110000,45000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5
275,Tata,2011,450000,80000,Diesel,Individual,Manual,Third Owner,11.57,2179.0,138.1,7
276,Mahindra,2009,400000,170000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7
277,Mahindra,2007,210000,207890,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7
